label,kind,row,alpha_or_c,seed,do_sample,prompt_idx,gc,entropy,distinct2,distinct3,distinct4,longest_homopolymer,mean_homopolymer,top3mer_share,top6mer_share,non_acgt_filter_rate,self_nll,n_filtered,n_raw
row2371_grid,alpha,2371,1.0,42,True,62,0.3489583333333333,1.7822895608842373,0.04177545691906005,0.14659685863874344,0.4068241469816273,9,1.5802469135802468,0.12827225130890052,0.021108179419525065,0.0,1.676274299621582,384,384
row2371_grid,alpha,2371,1.0,42,True,63,0.5026041666666666,7.841950871050358,0.04177545691906005,0.1649214659685864,0.5065616797900262,4,1.3568904593639577,0.028795811518324606,0.0079155672823219,0.0,8.17926025390625,384,384
row2371_grid,alpha,2371,1.0,42,True,64,0.4296875,6.971934946253896,0.04177545691906005,0.16753926701570682,0.48031496062992124,6,1.391304347826087,0.03926701570680628,0.005277044854881266,0.0,7.233710765838623,384,384
row2371_grid,alpha,2371,1.0,42,True,65,0.3802083333333333,7.901675060391426,0.04177545691906005,0.16753926701570682,0.48293963254593175,6,1.411764705882353,0.05235602094240838,0.0079155672823219,0.0,8.087420463562012,384,384
row2371_grid,alpha,2371,1.0,42,True,66,0.2916666666666667,7.614900901913643,0.04177545691906005,0.14921465968586387,0.4015748031496063,7,1.4222222222222223,0.08115183246073299,0.0079155672823219,0.0,7.7659783363342285,384,384
row2371_grid,alpha,2371,1.0,42,True,67,0.2682291666666667,7.710898794233799,0.04177545691906005,0.14659685863874344,0.4068241469816273,9,1.4382022471910112,0.060209424083769635,0.010554089709762533,0.0,7.699222087860107,384,384
row2371_grid,alpha,2371,1.0,42,True,68,0.3619791666666667,5.324060279875994,0.04177545691906005,0.16230366492146597,0.43832020997375326,4,1.4275092936802973,0.0549738219895288,0.0079155672823219,0.0,5.585328578948975,384,384
row2371_grid,alpha,2371,1.0,42,True,69,0.3932291666666667,7.677681766450405,0.04177545691906005,0.1649214659685864,0.49081364829396323,6,1.4222222222222223,0.03926701570680628,0.005277044854881266,0.0,8.073395729064941,384,384
row2371_grid,alpha,2371,1.0,42,True,70,0.4479166666666667,8.019363701343536,0.04177545691906005,0.1649214659685864,0.48031496062992124,5,1.381294964028777,0.03926701570680628,0.005277044854881266,0.0,8.270537376403809,384,384
row2371_grid,alpha,2371,1.0,42,True,71,0.4869791666666667,7.301979161798954,0.04177545691906005,0.16753926701570682,0.5223097112860893,5,1.3665480427046264,0.031413612565445025,0.0079155672823219,0.0,7.671656608581543,384,384
