model,layer,row,q1,pr_spec,frob_norm
HuggingFaceTB/SmolLM2-1.7B,7,518,0.01320682267162399,596.5623108786807,248.26898309551697
HuggingFaceTB/SmolLM2-1.7B,7,1383,0.013290469084506793,590.3048148674034,250.9799435180605
HuggingFaceTB/SmolLM2-1.7B,7,1453,0.01263127266370162,605.7935876499786,252.49372027442428
GenerTeam/GENERator-v2-prokaryote-1.2b-base,4,64,0.013025004767561563,499.8650912642666,1.9301461179918071
GenerTeam/GENERator-v2-prokaryote-1.2b-base,4,868,0.012471289763498563,498.51880309937457,1.9297546472858567
GenerTeam/GENERator-v2-prokaryote-1.2b-base,4,1125,0.012312329283789369,510.4801141054632,1.9209251280847148
GenerTeam/GENERator-v2-prokaryote-1.2b-base,4,1301,0.013623127933924652,492.7328760676829,1.9658428048321588
GenerTeam/GENERator-v2-prokaryote-1.2b-base,4,1839,0.012477562780692024,501.958931339917,1.9931946901012048
GenerTeam/GENERator-v2-prokaryote-3b-base,8,4,0.008751366448971109,708.1924437058885,6.815884146880349
GenerTeam/GENERator-v2-prokaryote-3b-base,8,285,0.008107479328136786,722.7290416359135,6.826260449506391
GenerTeam/GENERator-v2-prokaryote-3b-base,8,1057,0.008265001776592472,713.0222312658,6.812614124053642
GenerTeam/GENERator-v2-prokaryote-3b-base,8,1853,0.0109473607400331,683.9265410682262,6.81118054439466
GenerTeam/GENERator-v2-prokaryote-3b-base,8,2307,0.00904271623012913,708.5610505861009,6.669752729229174
EuroBERT/EuroBERT-210m,3,72,0.15243100116033595,35.18001035444176,0.13712055353624836
EuroBERT/EuroBERT-210m,3,216,0.21858404524793604,19.051224186237047,0.13418716667662492
EuroBERT/EuroBERT-210m,3,514,0.10896112405169942,58.45340965252997,0.13359245231760958
EuroBERT/EuroBERT-210m,3,543,0.08847561324081633,78.5698893332249,0.13658333982428578
EuroBERT/EuroBERT-210m,3,757,0.10214418523593437,63.97887999340167,0.1386345000250687
EuroBERT/EuroBERT-610m,13,163,0.026338343030813335,263.25917653169006,0.1429669568601858
EuroBERT/EuroBERT-610m,13,342,0.03443904995464864,240.4619234349289,0.14156970348189613
EuroBERT/EuroBERT-610m,13,396,0.03596640683197582,226.51930072151941,0.14404623400570657
EuroBERT/EuroBERT-610m,13,557,0.03204270327775329,249.92396722145565,0.14167986124950258
EuroBERT/EuroBERT-610m,13,777,0.03357504235286746,245.48604153793454,0.14167120775799147
EuroBERT/EuroBERT-2.1B,14,427,0.06482330544320554,167.80785808989327,0.13196035189504135
EuroBERT/EuroBERT-2.1B,14,554,0.04717126445225402,235.07679331509874,0.13112796037492308
EuroBERT/EuroBERT-2.1B,14,758,0.04060900770269803,275.8472524647333,0.13352817045837048
EuroBERT/EuroBERT-2.1B,14,1103,0.051665524865586565,221.46224779052116,0.13166230468278498
EuroBERT/EuroBERT-2.1B,14,1935,0.03838257115191648,297.50465140305863,0.131377949559223
answerdotai/ModernBERT-large,19,40,0.6431978021476956,2.4116138770877953,36.58442982228172
answerdotai/ModernBERT-large,19,558,0.25477038316901224,14.37537135590773,26.645597736876592
answerdotai/ModernBERT-large,19,709,0.7969730729418231,1.5736201588659608,47.48054622734535
answerdotai/ModernBERT-large,19,816,0.2248459598856094,18.240334232930337,25.02791513270435
answerdotai/ModernBERT-large,19,873,0.21211274700972377,20.46699108205947,25.24469999559645
