model,display_model,architecture,domain,epsilon,kind,control_index,layer,row,baseline_loss,perturbed_loss,absolute_delta_loss,relative_loss_change
MosaicBERT,MosaicBERT,encoder,text,1.0,candidate,,9,287,2.7671481196541836,2.7775032235071757,0.010355103852992098,0.003742157414503058
ModernBERT-base,ModernBERT-base,encoder,text,0.5,control,1,15,23,1.52405771854778,1.5240788415295843,2.1122981804344576e-05,1.3859699371800636e-05
ModernBERT-base,ModernBERT-base,encoder,text,0.5,control,2,15,325,1.52405771854778,1.5240180316184009,-3.9686929379056934e-05,-2.604030601732931e-05
ModernBERT-base,ModernBERT-base,encoder,text,0.5,control,3,15,421,1.52405771854778,1.524097618208611,3.989966083106644e-05,2.61798882978562e-05
ModernBERT-base,ModernBERT-base,encoder,text,0.5,control,4,15,487,1.52405771854778,1.5241123905308975,5.467198311759347e-05,3.587264606335805e-05
ModernBERT-base,ModernBERT-base,encoder,text,0.5,control,5,15,687,1.52405771854778,1.52400905935658,-4.86591911998957e-05,-3.19273939613398e-05
ModernBERT-base,ModernBERT-base,encoder,text,0.5,candidate,,15,251,1.52405771854778,1.6905810959824288,0.16652337743464884,0.10926316989708436
ModernBERT-base,ModernBERT-base,encoder,text,1.0,control,1,15,23,1.52405771854778,1.5241565573343798,9.883878659988632e-05,6.485239069165062e-05
ModernBERT-base,ModernBERT-base,encoder,text,1.0,control,2,15,325,1.52405771854778,1.5240473572747149,-1.036127306508483e-05,-6.79847812782164e-06
ModernBERT-base,ModernBERT-base,encoder,text,1.0,control,3,15,421,1.52405771854778,1.5241895932774858,0.0001318747297058831,8.652869776581809e-05
ModernBERT-base,ModernBERT-base,encoder,text,1.0,control,4,15,487,1.52405771854778,1.5242303188368946,0.00017260028911469938,0.00011325049374059404
ModernBERT-base,ModernBERT-base,encoder,text,1.0,control,5,15,687,1.52405771854778,1.5239997429703518,-5.797557742814874e-05,-3.804027677074566e-05
ModernBERT-base,ModernBERT-base,encoder,text,1.0,candidate,,15,251,1.52405771854778,6.965614838944772,5.4415571203969915,3.570440314807799
NTv3,NTv3,encoder,genomic,0.5,control,1,11,2,1.1444061123196168,1.1443885182806108,-1.759403900591927e-05,-1.5373947077456274e-05
NTv3,NTv3,encoder,genomic,0.5,control,2,11,142,1.1444061123196168,1.1444132456914964,7.133371879630701e-06,6.233252167075502e-06
NTv3,NTv3,encoder,genomic,0.5,control,3,11,527,1.1444061123196168,1.1444111943477264,5.082028109670844e-06,4.440755825193901e-06
NTv3,NTv3,encoder,genomic,0.5,control,4,11,924,1.1444061123196168,1.14437858645568,-2.75258639368392e-05,-2.4052531387696408e-05
NTv3,NTv3,encoder,genomic,0.5,control,5,11,1152,1.1444061123196168,1.1444051332969716,-9.790226451755757e-07,-8.554853339529772e-07
NTv3,NTv3,encoder,genomic,0.5,candidate,,11,1472,1.1444061123196168,1.1387057800343836,-0.005700332285233145,-0.004981039705982557
NTv3,NTv3,encoder,genomic,1.0,control,1,11,2,1.1444061123196168,1.144375642576833,-3.046974278375636e-05,-2.6624938870692245e-05
NTv3,NTv3,encoder,genomic,1.0,control,2,11,142,1.1444061123196168,1.1444189900776731,1.2877758056362154e-05,1.1252786854012865e-05
NTv3,NTv3,encoder,genomic,1.0,control,3,11,527,1.1444061123196168,1.1444152629440265,9.150624409759445e-06,7.995959049197915e-06
NTv3,NTv3,encoder,genomic,1.0,control,4,11,924,1.1444061123196168,1.1443448614519014,-6.12508677153567e-05,-5.352196834321887e-05
NTv3,NTv3,encoder,genomic,1.0,control,5,11,1152,1.1444061123196168,1.144404163310706,-1.9490089107065955e-06,-1.703074537723427e-06
NTv3,NTv3,encoder,genomic,1.0,candidate,,11,1472,1.1444061123196168,1.1353088084435217,-0.009097303876095086,-0.007949366731059835
DNABERT-2,DNABERT-2,encoder,genomic,0.5,control,1,5,72,4.695280693847892,4.695240823012,-3.987083589240825e-05,-8.49168313720839e-06
DNABERT-2,DNABERT-2,encoder,genomic,0.5,control,2,5,216,4.695280693847892,4.69528704130754,6.347459647670917e-06,1.3518807631645606e-06
DNABERT-2,DNABERT-2,encoder,genomic,0.5,control,3,5,513,4.695280693847892,4.695530824973935,0.0002501311260427741,5.3272880228548335e-05
DNABERT-2,DNABERT-2,encoder,genomic,0.5,control,4,5,542,4.695280693847892,4.695255790751569,-2.490309632374732e-05,-5.303856776098012e-06
DNABERT-2,DNABERT-2,encoder,genomic,0.5,control,5,5,757,4.695280693847892,4.695344907793602,6.42139457092128e-05,1.367627409227114e-05
DNABERT-2,DNABERT-2,encoder,genomic,0.5,candidate,,5,603,4.695280693847892,4.709867478059485,0.014586784211592985,0.003106690560738079
DNABERT-2,DNABERT-2,encoder,genomic,1.0,control,1,5,72,4.695280693847892,4.6952328162061585,-4.787764173386222e-05,-1.0196971140957575e-05
DNABERT-2,DNABERT-2,encoder,genomic,1.0,control,2,5,216,4.695280693847892,4.695330413036231,4.971918833884814e-05,1.0589183390887352e-05
DNABERT-2,DNABERT-2,encoder,genomic,1.0,control,3,5,513,4.695280693847892,4.695818683899255,0.000537990051362236,0.00011458102005853469
DNABERT-2,DNABERT-2,encoder,genomic,1.0,control,4,5,542,4.695280693847892,4.6953070600622295,2.6366214337159022e-05,5.615471375695601e-06
DNABERT-2,DNABERT-2,encoder,genomic,1.0,control,5,5,757,4.695280693847892,4.695439465737144,0.00015877188925195185,3.381520714192586e-05
DNABERT-2,DNABERT-2,encoder,genomic,1.0,candidate,,5,603,4.695280693847892,4.7342297911991995,0.03894909735130714,0.008295371435906092
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,0.5,control,1,4,435,6.38538052380085,6.385449003577232,6.847977638191338e-05,1.0724462876826533e-05
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,0.5,control,2,4,915,6.38538052380085,6.385498526096344,0.00011800229549407959,1.8480072574255856e-05
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,0.5,control,3,4,1058,6.38538052380085,6.385426566004753,4.6042203902807444e-05,7.2105654050200855e-06
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,0.5,control,4,4,1490,6.38538052380085,6.385337245464325,-4.327833652517654e-05,-6.777722386921341e-06
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,0.5,control,5,4,2073,6.38538052380085,6.385409819483757,2.9295682907104492e-05,4.587930632780277e-06
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,0.5,candidate,,4,2371,6.38538052380085,6.659344129562378,0.27396360576152734,0.04290482058827287
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,1.0,control,1,4,435,6.38538052380085,6.385547558069229,0.00016703426837860746,2.6158858936598123e-05
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,1.0,control,2,4,915,6.38538052380085,6.385502209067345,0.0001216852664942536,1.9056854331654044e-05
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,1.0,control,3,4,1058,6.38538052380085,6.3854701942205425,8.967041969221157e-05,1.404308159207964e-05
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,1.0,control,4,4,1490,6.38538052380085,6.3853129863739015,-6.753742694876053e-05,-1.0576883663709892e-05
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,1.0,control,5,4,2073,6.38538052380085,6.385517553687095,0.00013702988624508805,2.1459940521057942e-05
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,1.0,candidate,,4,2371,6.38538052380085,8.754319605827332,2.3689390820264817,0.3709941910582313
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,0.5,control,1,1,569,5.258974985957734,5.25895955090712,-1.5435050614520662e-05,-2.9349922096481922e-06
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,0.5,control,2,1,739,5.258974985957734,5.258915475790735,-5.9510166999565683e-05,-1.1315925091575242e-05
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,0.5,control,3,1,1012,5.258974985957734,5.258940133992321,-3.485196541319624e-05,-6.627140365994572e-06
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,0.5,control,4,1,1471,5.258974985957734,5.25879095597748,-0.0001840299802546852,-3.499350743178534e-05
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,0.5,control,5,1,2581,5.258974985957734,5.259000658128726,2.5672170991697385e-05,4.881592146805413e-06
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,0.5,candidate,,1,2604,5.258974985957734,5.281371209197428,0.022396223239693924,0.0042586670025043395
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,1.0,control,1,1,569,5.258974985957734,5.258952000557222,-2.2985400512709475e-05,-4.3706997226805605e-06
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,1.0,control,2,1,739,5.258974985957734,5.2588667876981665,-0.00010819825956787099,-2.0574020575640092e-05
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,1.0,control,3,1,1012,5.258974985957734,5.2589063250006625,-6.866095707191988e-05,-1.30559581011994e-05
