model_id	slug	domain	architecture	candidate_layer	candidate_row	activation_max	activation_ratio	ratio_median_24	ratio_cv_24	rank_median_24	frac_rank1	max_position_at_0_fraction	q1	layer_relative_frobenius	R_cand_eps0.5	R_cand_eps1.0	G_eps0.5	G_eps1.0	endpoint_type	baseline_loss
Qwen/Qwen2.5-0.5B	qwen25-0.5b	text	decoder	21	62	1606.7865956624348	531.1337615476585	523.1341540218882	0.048369268919490456	1.0	1.0	1.0	0.9981566830594912	30.623268771468037	0.005163987341006483	0.005556031100779856	0.005117727075492106	0.005436874945699274	causal_LM_NLL	3.1279006390655577
Qwen/Qwen2.5-1.5B	qwen25-1.5b	text	decoder	26	408	6713.606953938802	610.7970073476146	611.05108770521	0.029379997486440834	1.0	1.0	1.0	0.9950986414892103	22.28607583079485	0.005991425378877851	0.006480525715832325	0.005981528661766525	0.006452201824674416	causal_LM_NLL	2.7555732479207435
Qwen/Qwen2.5-3B	qwen25-3b	text	decoder	30	318	2667.0135396321616	447.2512647249885	445.676543425653	0.03498229686343531	1.0	1.0	0.6666666666666666	0.8173600221565082	8.318105315988955	0.02036779513602715	0.03175519925651747	0.02035468689253282	0.0317230068450099	causal_LM_NLL	2.611140428158635
HuggingFaceTB/SmolLM2-135M	smollm2-135m	text	decoder	11	507	19313.749348958332	1535.1358428708	1539.0766105039197	0.02252724765136475	1.0	1.0	1.0	0.9243918826993042	12.47718017297001	0.03780837142953165	3.1341752821146263	0.03780163082359109	3.1341348790152725	causal_LM_NLL	3.3001462359344425
HuggingFaceTB/SmolLM2-360M	smollm2-360m	text	decoder	3	87	18116.9228515625	1808.634508518411	1814.3246717492466	0.024889571547078663	1.0	1.0	1.0	0.9742504779226046	22.37669908683808	0.022680901177107363	0.5915447008237732	0.022667569491602337	0.5915061267493058	causal_LM_NLL	2.992406347465142
HuggingFaceTB/SmolLM2-1.7B	smollm2-1.7b	text	decoder	7	227	25175.975992838543	4488.878168254759	4439.338244560368	0.04008627704937705	1.0	1.0	0.875	0.9663919138439745	15.535443754242134	0.03905575617362741	6.988738472947954	0.03906230178820997	6.988746549892805	causal_LM_NLL	2.6145340592893835
GenerTeam/GENERator-v2-prokaryote-1.2b-base	generator-prok-1.2b	genomic	decoder	4	798	7997.40478515625	239.50514928746688	239.50514928746685	1.1866846919558608e-16	1.0	1.0	1.0	0.8468514071586476	3.222349081478031	0.0018237718323049219	0.006042811947788043	0.0018324206558893383	0.006059768734388123	causal_LM_NLL	8.127733578681946
GenerTeam/GENERator-v2-prokaryote-3b-base	generator-prok-3b	genomic	decoder	8	260	30167.068359375	257.26798961027333	257.26798961027333	0.0	1.0	1.0	1.0	0.934973533990709	7.656615220640426	0.00140949838720012	0.002501651718659897	0.001410511932590475	0.002503532942257296	causal_LM_NLL	8.23783396244049
EuroBERT/EuroBERT-210m	eurobert-210m	text	encoder	3	300	122.18316109975179	105.1993188597073	105.20179667467588	0.014394967004869965	1.0	1.0	0.0	0.9838491163147434	14.949934194686236	0.0009938638870853646	0.0015891712537865418	0.0009987249968849252	0.0016044689181243473	MLM	8.251931444703054
EuroBERT/EuroBERT-610m	eurobert-610m	text	encoder	13	762	676.2459424336752	1588.2871570093357	1587.5499191127205	0.006916578442561812	1.0	1.0	0.0	0.9996238293034937	57.21725262189751	-0.008384070706225917	0.009219914029773508	-0.008376722490132245	0.009233662130237843	MLM	9.218351562100363
EuroBERT/EuroBERT-2.1B	eurobert-2.1b	text	encoder	14	2198	371.1400604248047	586.4797515880183	578.9191046078433	0.03992626126659137	1.0	1.0	0.0	0.9977414719034632	20.893724690144545	-3.873112244302346e-05	-0.00011898446726430181	-4.921311669156121e-05	-0.0001428010336684095	MLM	8.12560979581756
answerdotai/ModernBERT-large	modernbert-large	text	encoder	19	379	21528.246337890625	787.0997076387815	786.799274316106	0.17610868143431951	1.0	1.0	0.0	0.9701337490592797	26.575958286152655	0.08090224393281813	2.2066469967108513	0.08090690615004259	2.206636251118082	MLM	1.223925887615726
