cohort	n	predictor	endpoint	spearman_rho	p_value	ci95_lo	ci95_hi
all	22	q1	G_eps1.0	0.07396950875211745	0.7435587990333694	-0.3934265955104358	0.5237075389405661
all	22	layer_relative_frobenius	R_cand_eps0.5	0.34839073969508755	0.11206951041950931	-0.12894259730147536	0.7400239375023459
all	22	layer_relative_frobenius	R_cand_eps1.0	0.4409937888198759	0.03993999904430384	0.06774131515705484	0.7211769517768954
all	22	layer_relative_frobenius	G_eps0.5	0.34839073969508755	0.11206951041950931	-0.12894259730147536	0.7400239375023459
all	22	layer_relative_frobenius	G_eps1.0	0.4409937888198759	0.03993999904430384	0.06774131515705484	0.7211769517768954
text_decoder	10	activation_ratio	R_cand_eps0.5	0.6484848484848483	0.04254012768448945	0.038449367088607606	0.987012987012987
text_decoder	10	activation_ratio	R_cand_eps1.0	0.7696969696969697	0.009221952722215994	0.22292993630573255	1.0
text_decoder	10	activation_ratio	G_eps0.5	0.6484848484848483	0.04254012768448945	0.038449367088607606	0.987012987012987
text_decoder	10	activation_ratio	G_eps1.0	0.7696969696969697	0.009221952722215994	0.22292993630573255	1.0
text_decoder	10	activation_max	R_cand_eps0.5	0.0303030303030303	0.9337729580941466	-0.6894630334602284	0.9006211180124224
text_decoder	10	activation_max	R_cand_eps1.0	0.22424242424242422	0.5334005612725947	-0.6226415094339623	0.8742138364779874
text_decoder	10	activation_max	G_eps0.5	0.0303030303030303	0.9337729580941466	-0.6894630334602284	0.9006211180124224
text_decoder	10	activation_max	G_eps1.0	0.22424242424242422	0.5334005612725947	-0.6226415094339623	0.8742138364779874
text_decoder	10	ratio_median_24	R_cand_eps0.5	0.6484848484848483	0.04254012768448945	0.038449367088607606	0.987012987012987
text_decoder	10	ratio_median_24	R_cand_eps1.0	0.7696969696969697	0.009221952722215994	0.22292993630573255	1.0
text_decoder	10	ratio_median_24	G_eps0.5	0.6484848484848483	0.04254012768448945	0.038449367088607606	0.987012987012987
text_decoder	10	ratio_median_24	G_eps1.0	0.7696969696969697	0.009221952722215994	0.22292993630573255	1.0
text_decoder	10	ratio_cv_24	R_cand_eps0.5	-0.4787878787878787	0.1615229280174558	-0.9480519480519479	0.3670886075949367
text_decoder	10	ratio_cv_24	R_cand_eps1.0	-0.406060606060606	0.24428229408662638	-0.9607843137254901	0.4339622641509434
text_decoder	10	ratio_cv_24	G_eps0.5	-0.4787878787878787	0.1615229280174558	-0.9480519480519479	0.3670886075949367
text_decoder	10	ratio_cv_24	G_eps1.0	-0.406060606060606	0.24428229408662638	-0.9607843137254901	0.4339622641509434
text_decoder	10	rank_median_24	R_cand_eps0.5	nan	nan		
text_decoder	10	rank_median_24	R_cand_eps1.0	nan	nan		
text_decoder	10	rank_median_24	G_eps0.5	nan	nan		
text_decoder	10	rank_median_24	G_eps1.0	nan	nan		
text_decoder	10	q1	R_cand_eps0.5	-0.16363636363636364	0.6514773427962428	-0.8064516129032259	0.7777777777777778
text_decoder	10	q1	R_cand_eps1.0	-0.33333333333333326	0.34659350708733405	-0.8954248366013071	0.5185185185185185
text_decoder	10	q1	G_eps0.5	-0.16363636363636364	0.6514773427962428	-0.8064516129032259	0.7777777777777778
text_decoder	10	q1	G_eps1.0	-0.33333333333333326	0.34659350708733405	-0.8954248366013071	0.5185185185185185
text_decoder	10	layer_relative_frobenius	R_cand_eps0.5	-0.06666666666666665	0.8548130882487426	-0.6297116736990153	0.6783389450056114
text_decoder	10	layer_relative_frobenius	R_cand_eps1.0	-0.04242424242424241	0.907363817812816	-0.708860759493671	0.6478375398186714
text_decoder	10	layer_relative_frobenius	G_eps0.5	-0.06666666666666665	0.8548130882487426	-0.6297116736990153	0.6783389450056114
text_decoder	10	layer_relative_frobenius	G_eps1.0	-0.04242424242424241	0.907363817812816	-0.708860759493671	0.6478375398186714
text_encoder	6	activation_ratio	R_cand_eps0.5	0.028571428571428574	0.9571545189504373	-0.9999999999999999	1.0
