model	epsilon	candidate_R	R_random_ctrl1	R_random_ctrl2	R_random_ctrl3	R_random_ctrl4	R_random_ctrl5	R_topnorm_rank2	R_topnorm_rank3	R_topnorm_rank4	R_topnorm_rank5	R_topnorm_rank6	median_random_control_R	median_topnorm_control_R	causal_random_control_gap	causal_topnorm_control_gap
Mistral-7B	1.0	2.871492377308394	5.021813317536439e-06	-2.8951186690941136e-05	0.00011591514007380235	9.777383946335692e-06	-6.0326697052417106e-06	0.00028187091819781496	-0.0015457184683095814	0.0006361490248817529	-0.00035052473414385975	0.0002034310600066514	5.021813317536439e-06	0.0002034310600066514	2.871487355495076	2.871288946248387
ModernBERT-base	0.5	0.10926316989708436	1.3859699371800636e-05	-2.604030601732931e-05	2.61798882978562e-05	3.587264606335805e-05	-3.19273939613398e-05	0.001467547569343484	0.0003168723033191138	5.95359479528008e-05	0.0014124289900293578	7.680309711081478e-05	1.3859699371800636e-05	0.0003168723033191138	0.10924931019771256	0.10894629759376524
ModernBERT-base	1.0	3.570440314807799	6.485239069165062e-05	-6.79847812782164e-06	8.652869776581809e-05	0.00011325049374059404	-3.804027677074566e-05	0.007377354582184819	0.002478398338655532	0.0010815738265029587	0.004491897365625474	0.0005529141502017866	6.485239069165062e-05	0.002478398338655532	3.570375462417107	3.5679619164691436
MosaicBERT	0.5	-0.0017349806458838244	3.4594878618880962e-06	-6.827627155315465e-05	-4.8441874478500753e-05	-2.449226962061112e-05	8.69077617373045e-05	-0.001969972576933625	0.0003262138776501069	0.00033035621867163117	0.00016426462365209097	0.00012522893839259818	-2.449226962061112e-05	0.00016426462365209097	-0.0017104883762632133	-0.0018992452695359154
MosaicBERT	1.0	0.003742157414503058	4.138271035797036e-05	-0.00010857365238568204	-7.215180239967285e-05	-1.6049310355068717e-05	0.0002180969681061668	-0.0009855153866103897	0.0008602186151225516	0.0007100451864738748	0.0003703234784403475	0.0003620252297781547	-1.6049310355068717e-05	0.0003703234784403475	0.0037582067248581267	0.0033718339360627107
NTv3	0.5	-0.004981039705982557	-1.5373947077456274e-05	6.233252167075502e-06	4.440755825193901e-06	-2.4052531387696408e-05	-8.554853339529772e-07	4.1798266543867505e-05	1.5037223605355064e-05	2.7150934400726233e-06	-3.2366654257315966e-07	-3.096458362626024e-06	-8.554853339529772e-07	2.7150934400726233e-06	-0.004980184220648604	-0.00498375479942263
NTv3	1.0	-0.007949366731059835	-2.6624938870692245e-05	1.1252786854012865e-05	7.995959049197915e-06	-5.352196834321887e-05	-1.703074537723427e-06	8.298684285285875e-05	3.176020154936635e-05	1.370394225968748e-05	-5.229941446147991e-06	6.826348775168452e-06	-1.703074537723427e-06	1.370394225968748e-05	-0.007947663656522112	-0.007963070673319523
OLMo-7B-0724-hf	0.5	0.006288051768048048	-3.921241632109546e-06	-4.32715141049352e-06	-1.4831024258933239e-05	4.836453302007753e-06	8.225417017166392e-06	0.000725517776694266	0.0007292628687998667	0.0004391828921281766	-6.278964750098273e-05	-0.00012566736976504192	-3.921241632109546e-06	0.0004391828921281766	0.006291973009680158	0.0058488688759198715
OLMo-7B-0724-hf	1.0	1.1177580569022323	-7.3944507730981204e-06	-7.99182742786676e-06	-2.9030207824853845e-05	1.0806390513337494e-05	1.7500072518002808e-05	0.002469103229462146	0.0034224091492063608	0.0013813760743563751	0.0006377953125270478	-0.00015758106875096465	-7.3944507730981204e-06	0.0013813760743563751	1.1177654513530053	1.116376680827876
Qwen/Qwen2.5-0.5B	0.5	0.005163987341006483	0.00026306000948978604	4.6260265514376735e-05	-4.463200681257728e-06	-2.0834379634069494e-06	4.692012269919189e-05	0.020873494502228813	0.0013439519017878132	0.0028255145755731377	0.005966676112400022	0.0010897755251393557	4.6260265514376735e-05	0.0028255145755731377	0.005117727075492106	0.002338472765433345
Qwen/Qwen2.5-0.5B	1.0	0.005556031100779856	0.0009792311173006825	0.00012730355837759104	2.9021496558116972e-06	2.7820923069320827e-05	0.00011915615508058293	0.03812151673306173	0.008502666128516434	0.006486808538405357	0.016673515739854518	0.0029094569631978743	0.00011915615508058293	0.008502666128516434	0.005436874945699274	-0.002946635027736578
Qwen/Qwen2.5-1.5B	0.5	0.005991425378877851	1.8198308128905015e-05	-1.6870192272531205e-05	8.218367047060414e-07	9.896717111325504e-06	2.583410738571613e-05	0.006094498265848345	0.005758582048861584	0.002891127900345043	0.0037041914115803647	0.00978858143272681	9.896717111325504e-06	0.005758582048861584	0.005981528661766525	0.00023284333001626686
Qwen/Qwen2.5-1.5B	1.0	0.006480525715832325	4.837740028680047e-05	-1.8260726106351147e-05	1.7279376792383317e-05	2.832389115790904e-05	6.795930691855483e-05	0.006625227926180446	0.006373721620868946	0.004517917246911131	0.004980698003321133	0.018543743087382367	2.832389115790904e-05	0.006373721620868946	0.006452201824674416	0.00010680409496337858
Qwen/Qwen2.5-3B	0.5	0.02036779513602715	1.3108243494329004e-05	-2.481490763137478e-05	1.7561825943497115e-05	-6.7846687433275386e-06	1.6109013920305393e-05	0.004119318580513904	0.0018495760846384676	0.0021816625649246405	0.001309148309371212	0.0027322966191156983	1.3108243494329004e-05	0.0021816625649246405	0.02035468689253282	0.01818613257110251
Qwen/Qwen2.5-3B	1.0	0.03175519925651747	3.21924115075715e-05	-4.175828210896342e-05	4.210593234122148e-05	-6.290639465908206e-06	3.8080508599286175e-05	0.009085139860255702	0.005949279873100419	0.007056384845908851	0.0029037833300008904	0.010143189555553609	3.21924115075715e-05	0.007056384845908851	0.0317230068450099	0.02469881441060862
Qwen2.5-7B	0.5	0.005999443397646881	6.525397457735785e-06	-8.679715278626576e-06	-1.043985538239135e-05	7.59475086877558e-06	-2.9973117508913253e-06	0.0041715671705583384	0.008849875164502361	0.004059784614348421	0.002545478712699824	0.00020499973221289509	-2.9973117508913253e-06	0.004059784614348421	0.006002440709397772	0.0019396587832984594
Qwen2.5-7B	1.0	0.0073805601611145735	2.107094549881418e-05	-1.1290654811525414e-05	-1.5591484954173465e-05	2.2975487340539603e-05	-4.6442721132295654e-07	0.011117981555004087	0.012707610525392708	0.008258311979666153	0.008742389535685343	0.0022216948913588905	-4.6442721132295654e-07	0.008742389535685343	0.007381024588325897	-0.0013618293745707695
answerdotai/ModernBERT-large	0.5	0.08090224393281813	1.6563140138800046e-06	-2.864809794499256e-05	-4.662217224469844e-06	-0.00010014054080015342	1.5719646891536723e-05	-6.384988282163786e-05	0.0009033557080397515	0.0005615824681737487	-7.1057916030670155e-06	0.001016460484455113	-4.662217224469844e-06	0.0005615824681737487	0.08090690615004259	0.08034066146464437
answerdotai/ModernBERT-large	1.0	2.2066469967108513	1.721748641654245e-05	-3.865755115268413e-05	1.0745592769516807e-05	-0.0001811516771552433	4.8390952024759275e-05	0.00025424420114101236	0.003602053565593845	0.0026229879484598946	7.094545026412649e-05	0.003280713310646922	1.0745592769516807e-05	0.0026229879484598946	2.206636251118082	2.2040240087623912
