model,coord_role,layer,row,norm,q1,pr_spec
DNABERT-2,rank3_by_norm,5,439,22.147191646213066,0.2743234750873361,8.900245466317417
DNABERT-2,rank4_by_norm,5,641,16.89779523502509,0.5282698543473282,3.560356803969599
DNABERT-2,rank5_by_norm,5,382,11.869340923272668,0.07668712928468673,95.69927414708624
DNABERT-2,rank6_by_norm,5,406,11.82206893583442,0.08842584315228584,83.59360317857174
GENERator-EUK-3B,candidate,4,2371,522.1322102344819,0.9688691252376008,1.0652593586761507
GENERator-EUK-3B,rank2_by_norm,4,1522,197.9284158838531,0.990929672322166,1.0183863522506489
GENERator-EUK-3B,rank3_by_norm,4,101,58.645361433839,0.4318880869349469,5.3175472383764
GENERator-EUK-3B,rank4_by_norm,4,1932,40.086873652493516,0.8149696411965439,1.5051078711663162
GENERator-EUK-3B,rank5_by_norm,4,166,31.45357534208455,0.7669279631622465,1.6996374564918342
GENERator-EUK-3B,rank6_by_norm,4,2197,22.16386954822042,0.40605495360785243,6.020244995307618
Llama-7B,candidate,2,3968,137.61641832024125,0.9888168037615837,1.0226531746885206
Llama-7B,rank2_by_norm,2,3840,16.744480996058343,0.5132446626250524,3.7790100952172043
Llama-7B,rank3_by_norm,2,3619,12.19065651058036,0.45513914889012974,4.778569395610998
Llama-7B,rank4_by_norm,2,704,5.8730432698236745,0.8210610887206907,1.4822656642370604
Llama-7B,rank5_by_norm,2,954,5.657015535663054,0.4431814934892505,5.061058288300602
Llama-7B,rank6_by_norm,2,3870,5.426179808618937,0.37732213778071694,6.954670393415187
Mistral-7B,candidate,1,2070,0.3883472336470178,0.9922047361078123,1.0157714240616063
Mistral-7B,rank2_by_norm,1,3398,0.1349297993941725,0.9659226540437291,1.071586595401793
Mistral-7B,rank3_by_norm,1,3701,0.04027796168224828,0.8478484358275037,1.3889353059634224
Mistral-7B,rank4_by_norm,1,1935,0.040204522671823846,0.8542563251135071,1.3686036763680451
Mistral-7B,rank5_by_norm,1,2661,0.029639399066588516,0.7525348318802689,1.7636027742882585
Mistral-7B,rank6_by_norm,1,1528,0.024185732740720632,0.8155188437949372,1.5026649736684852
OLMo-7B-0724-hf,candidate,1,269,0.9110752807671006,0.9645646658087472,1.0747016994474317
OLMo-7B-0724-hf,rank2_by_norm,1,3533,0.09843628255908411,0.33482750868503786,8.3199446360172
OLMo-7B-0724-hf,rank3_by_norm,1,164,0.09554604618088697,0.5496406019001573,3.2766760943079603
OLMo-7B-0724-hf,rank4_by_norm,1,3357,0.06889124133990998,0.44797036349182423,4.745761227944042
OLMo-7B-0724-hf,rank5_by_norm,1,3358,0.06671966400286183,0.613347977102995,2.6133079407288418
OLMo-7B-0724-hf,rank6_by_norm,1,3450,0.04395546375832301,0.24777819772073978,13.192287115144364
MosaicBERT,candidate,9,287,19.997746047187608,0.4765682244122918,4.115864702589475
MosaicBERT,rank2_by_norm,9,284,14.054118839615976,0.36686633434663274,7.215936458126719
MosaicBERT,rank3_by_norm,9,666,6.099134002261254,0.46511331626495117,4.545896592031751
MosaicBERT,rank4_by_norm,9,400,5.2047068454931065,0.289892005117811,11.46944763785356
MosaicBERT,rank5_by_norm,9,410,4.784426378912453,0.033475285265712806,173.8791047874686
MosaicBERT,rank6_by_norm,9,333,4.760946008222327,0.22758258662491673,18.067546442049625
GenomeOcean-4B,candidate,1,2604,2.8832156466503798,0.89890771668117,1.2243008136349038
GenomeOcean-4B,rank2_by_norm,1,1424,2.1338254247852655,0.9008799691028165,1.219897979726889
GenomeOcean-4B,rank3_by_norm,1,379,1.9404906841099807,0.9735455447021008,1.0549393752795009
GenomeOcean-4B,rank4_by_norm,1,1966,1.2679214125352163,0.90107635652533,1.2203084020847064
GenomeOcean-4B,rank5_by_norm,1,2225,1.2425257534011855,0.9226412929444251,1.168200320390961
GenomeOcean-4B,rank6_by_norm,1,394,1.0878600951044508,0.8436161902110446,1.3985050808172117
Qwen2.5-7B,candidate,26,458,29.68742128219392,0.9529104185966226,1.099546110025221
Qwen2.5-7B,rank2_by_norm,26,2570,15.052771860532083,0.8853575360321501,1.2737086609597719
Qwen2.5-7B,rank3_by_norm,26,2718,9.227844961428532,0.949095795378671,1.1084259675413002
Qwen2.5-7B,rank4_by_norm,26,2730,8.14361889851918,0.8811859205664887,1.285723923171301
Qwen2.5-7B,rank5_by_norm,26,3206,3.5516538097056367,0.7482856629507358,1.7826899958581015
Qwen2.5-7B,rank6_by_norm,26,1692,3.381914606644113,0.5567821161949712,3.219133557174285
NTv3,candidate,11,1472,441.51731901128426,0.3888939675174816,6.480324491019531
NTv3,rank2_by_norm,11,1075,116.89575285641442,0.019518610990057892,409.28058862808064
NTv3,rank3_by_norm,11,1253,116.72655294793361,0.018733413515523614,421.8468951710523
NTv3,rank4_by_norm,11,506,116.47157225263746,0.01815389292006396,419.4226396499382
NTv3,rank5_by_norm,11,120,116.15584621882095,0.018222066383634217,419.8165786997564
NTv3,rank6_by_norm,11,37,116.01814534699956,0.01794463835150012,421.74749013128053
